iter	MAE
0	6.380722372
1	6.376460722
2	6.372227947
3	6.368039451
4	6.3640857
5	6.360708566
6	6.357224102
7	6.354063063
8	6.351100627
9	6.34811242
10	6.345271568
11	6.342597212
12	6.339834088
13	6.337401763
14	6.335310051
15	6.333104243
16	6.330862807
17	6.328923082
18	6.327144311
19	6.325286993
20	6.323435452
21	6.321757438
22	6.320261293
23	6.318651626
24	6.317206616
25	6.315739675
26	6.314520172
27	6.313150198
28	6.311904667
29	6.310701645
30	6.309507951
31	6.308349671
32	6.30727542
33	6.306402893
34	6.305483211
35	6.304566144
36	6.303755016
37	6.302895644
38	6.302061941
39	6.301320964
40	6.300525975
41	6.299790167
42	6.299192726
43	6.298553176
44	6.297857821
45	6.297342782
46	6.296674955
47	6.296067276
48	6.295504634
49	6.2949169
50	6.294455772
51	6.293908391
52	6.293500033
53	6.293003534
54	6.292565862
55	6.292115406
56	6.291713807
57	6.29129621
58	6.290896956
59	6.290407295
60	6.290041865
61	6.289681982
62	6.289221852
63	6.288849359
64	6.288541328
65	6.288161897
66	6.287743798
67	6.287410518
68	6.287092294
69	6.286799148
70	6.286449281
71	6.286067102
72	6.285729072
73	6.285477315
74	6.285108904
75	6.284787769
76	6.284394784
77	6.284034238
78	6.283769966
79	6.283536483
80	6.283308937
81	6.283064593
82	6.282754695
83	6.282574727
84	6.282340239
85	6.282119462
86	6.281928905
87	6.281668705
88	6.281390171
89	6.281149275
90	6.28091861
91	6.280695717
92	6.28038323
93	6.280181315
94	6.28000016
95	6.279812096
96	6.279671909
97	6.27947384
98	6.279267262
99	6.279058119
100	6.278834912
101	6.278523605
102	6.278295345
103	6.278121511
104	6.277975407
105	6.277869714
106	6.277659238
107	6.277371237
108	6.277163659
109	6.27692749
110	6.276760728
111	6.27660999
112	6.276460519
113	6.276337603
114	6.276169824
115	6.275970377
116	6.275714612
117	6.275503943
118	6.275310303
119	6.275150697
120	6.274992612
121	6.27480703
122	6.274677065
123	6.274511651
124	6.274326653
125	6.274129271
126	6.274010515
127	6.273851898
128	6.273720291
129	6.273599938
130	6.273367132
131	6.273257831
132	6.273101
133	6.272964231
134	6.272842876
135	6.272710333
136	6.272485758
137	6.272312239
138	6.272108274
139	6.271901375
140	6.271749334
141	6.27152777
142	6.271426112
143	6.271228376
144	6.271103184
145	6.270954516
146	6.270832206
147	6.270647341
148	6.270482106
149	6.270273301
150	6.270139501
151	6.269980006
152	6.269784024
153	6.269630864
154	6.269422583
155	6.269361695
156	6.269212689
157	6.269066996
158	6.268936794
159	6.268822606
160	6.268654943
161	6.26854324
162	6.26836627
163	6.268210237
164	6.268121751
165	6.267980307
166	6.267877759
167	6.267686055
168	6.267528675
169	6.267425034
170	6.267320609
171	6.267132527
172	6.267004212
173	6.26691867
174	6.266814833
175	6.266732437
176	6.266571935
177	6.266435634
178	6.266278458
179	6.266210381
180	6.266090859
181	6.265987862
182	6.265906193
183	6.265770727
184	6.265678676
185	6.265517657
186	6.265382455
187	6.265297677
188	6.265205431
189	6.265137671
190	6.265029874
191	6.264931318
192	6.264842961
193	6.264735606
194	6.264644417
195	6.264553226
196	6.264451109
197	6.264363656
198	6.264266466
199	6.26415792
200	6.26406073
201	6.263923059
202	6.263808555
203	6.263721938
204	6.26356039
205	6.263473748
206	6.263401348
207	6.26327166
208	6.26320643
209	6.263153349
210	6.263068927
211	6.262952711
212	6.262809023
213	6.262674986
214	6.262569014
215	6.262517664
216	6.262468357
